StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q6_1,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,RandomSurveyID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which of the following best describes your use of technology? (Check all that apply),How long do you use technology such as smartphones or computers on a daily basis?,"In the past week, how many hours per day did you spend using technology for work-related tasks?","On a scale of 1 to 5, how confident are you in using new technologies (e.g., learning a new app, device)?",Do you think technology helps or hinders face-to-face social interactions? - Click to write Choice 1,"On a scale of 1 to 5, how would you rate the effect of technology on your social relationships? - Less than an hour",How would you rate the overall impact of technology on your daily productivity? - Click to write Choice 1,Please rank your level of concern for the following emerging technologies. - Artificial Intelligence,Please rank your level of concern for the following emerging technologies. - Virtual Reality,Please rank your level of concern for the following emerging technologies. - Augmented Reality,Please rank your level of concern for the following emerging technologies. - Autonomous Vehicles,Please rank your level of excitement for the following emerging technologies. - Artificial Intelligence,Please rank your level of excitement for the following emerging technologies. - Virtual Reality,Please rank your level of excitement for the following emerging technologies. - Augmented Reality,Please rank your level of excitement for the following emerging technologies. - Autonomous Vehicles,Technology is helpful for learning and education,RandomSurveyID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID3""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID11""}","{""ImportId"":""RandomSurveyID""}"
2024-10-15 16:45:09,2024-10-15 16:45:42,0,137.155.61.18,100,32,1,2024-10-15 16:45:42,R_6GCYONrmsrkvGtW,,,,,37.751,-97.822,anonymous,EN,"1,3",5,3,4,4,4,4,4,1,2,3,3,1,2,4,1,34673
2024-10-15 16:45:30,2024-10-15 16:46:31,0,209.20.204.214,100,61,1,2024-10-15 16:46:32,R_3otnkvpiTxPcbw9,,,,,42.2168,-88.2445,anonymous,EN,1,4,4,4,4,4,1,1,3,2,4,1,3,2,4,1,21005
2024-10-15 16:45:35,2024-10-15 16:47:16,0,65.73.221.244,100,100,1,2024-10-15 16:47:16,R_3L1Ka0tYE9817UU,,,,,41.2045,-73.1988,anonymous,EN,"1,4",5,4,3,3,4,4,1,3,4,2,2,1,4,3,1,21848
2024-10-15 16:46:46,2024-10-15 16:47:16,0,209.20.235.208,100,30,1,2024-10-15 16:47:17,R_6cBqaDOmyJghOyR,,,,,37.751,-97.822,anonymous,EN,1,5,5,4,4,4,4,1,3,2,4,1,3,2,4,1,63589
2024-10-15 16:46:23,2024-10-15 16:47:37,0,5.181.233.162,100,73,1,2024-10-15 16:47:37,R_6Cmj6WEZ6Fj1W2G,,,,,45.4994,-73.5703,anonymous,EN,"1,2,3,4,5",3,3,3,1,4,1,3,1,2,4,2,1,3,4,1,45279
2024-10-15 16:47:14,2024-10-15 16:47:40,0,137.155.50.141,100,25,1,2024-10-15 16:47:40,R_52nFQcVNL08uQ13,,,,,40.6221,-73.981,anonymous,EN,"1,2,3",5,5,4,4,4,4,3,1,2,4,4,1,2,3,1,95835
2024-10-15 16:47:05,2024-10-15 16:47:48,0,139.171.172.31,100,42,1,2024-10-15 16:47:48,R_6rdGx3hP0TVpPZV,,,,,43.1139,-79.0425,anonymous,EN,1,4,4,4,5,5,5,1,2,3,4,3,1,2,4,1,34894
2024-10-15 16:46:35,2024-10-15 16:48:21,0,137.155.39.19,100,106,1,2024-10-15 16:48:22,R_74wmubpUif3hwif,,,,,37.751,-97.822,anonymous,EN,1,4,4,4,5,5,5,4,1,2,3,4,1,2,3,1,99663
2024-10-15 16:48:47,2024-10-15 16:49:23,0,139.171.231.65,100,35,1,2024-10-15 16:49:24,R_1ghHc8IUfT3Yr0Q,,,,,37.751,-97.822,anonymous,EN,"1,2,3,4,5",3,3,3,1,4,1,2,1,3,4,2,1,3,4,1,12948
2024-10-15 16:46:09,2024-10-15 16:49:58,0,65.73.221.64,100,229,1,2024-10-15 16:49:58,R_5jmC59zhwbpsPAZ,,,,,41.2045,-73.1988,anonymous,EN,"1,2,3,4,5",4,4,4,4,4,5,3,2,4,1,3,2,4,1,1,80763
2024-10-15 16:47:33,2024-10-15 16:50:35,0,205.220.211.212,100,182,1,2024-10-15 16:50:36,R_6wGo03sGPgnC5Dp,,,,,32.7873,-108.2984,anonymous,EN,"1,4,5",3,2,3,4,4,5,1,2,3,4,2,3,1,4,1,72720
2024-10-15 16:46:01,2024-10-15 16:51:32,0,165.73.253.61,100,331,1,2024-10-15 16:51:33,R_8Bs85XfKe7JVV7v,,,,,32.7797,-96.8022,anonymous,EN,3,3,3,4,2,3,3,3,2,4,1,2,3,4,1,1,67534
2024-10-15 16:50:45,2024-10-15 16:51:34,0,137.155.61.11,100,48,1,2024-10-15 16:51:34,R_51pJXHXU0ztUqlu,,,,,37.751,-97.822,anonymous,EN,"1,3,4,5",4,4,4,5,4,5,4,1,2,3,4,1,2,3,1,37702
2024-10-15 16:51:39,2024-10-15 16:52:25,0,103.163.233.209,100,45,1,2024-10-15 16:52:25,R_4JwlLfdYRwPHNNT,,,,,12.8996,80.2209,anonymous,EN,"1,2,3",3,3,3,1,3,4,3,2,1,4,2,3,1,4,1,89110
2024-10-15 16:53:23,2024-10-15 16:53:50,0,69.91.189.239,100,26,1,2024-10-15 16:53:50,R_3hN2C0MzvW7LzsW,,,,,37.751,-97.822,anonymous,EN,3,2,4,3,3,5,3,2,1,4,3,2,1,3,4,1,27046
2024-10-15 16:53:56,2024-10-15 16:54:29,0,137.155.32.185,100,32,1,2024-10-15 16:54:29,R_3oDV10U1DoRPUQx,,,,,37.751,-97.822,anonymous,EN,"1,2,4",3,3,4,3,4,4,3,2,4,1,1,2,4,3,1,46584
2024-10-15 16:55:25,2024-10-15 16:56:43,0,139.171.181.135,100,77,1,2024-10-15 16:56:43,R_33ur8wt2Wsl0E6J,,,,,43.1139,-79.0425,anonymous,EN,"1,3,4",4,5,4,4,4,4,1,2,4,3,2,1,4,3,1,94578
2024-10-15 16:56:02,2024-10-15 16:57:18,0,208.214.160.95,100,76,1,2024-10-15 16:57:18,R_5LFnBjGhSJNmep4,,,,,40.009,-76.3631,anonymous,EN,"1,4",4,4,4,4,3,4,1,2,3,4,2,1,3,4,1,21419
2024-10-15 17:06:12,2024-10-15 17:06:53,0,208.214.160.64,100,41,1,2024-10-15 17:06:54,R_1GZAWdGbn7ybSFR,,,,,40.009,-76.3631,anonymous,EN,"1,2",5,5,5,5,5,5,3,1,2,4,4,1,2,3,1,40802
2024-10-15 17:11:47,2024-10-15 17:12:10,0,38.170.31.193,100,22,1,2024-10-15 17:12:11,R_5aDchznMZu6yVcQ,,,,,42.8867,-78.8927,anonymous,EN,"1,2,3",5,5,3,4,4,5,4,1,2,3,1,3,4,2,1,26557
